"census_tract_code","year","arrests_B","arrests_W","arrests_total","state","county","ct_pop","ct_white","ct_black","pct_white","pct_black","arrest_pct_tot","arrest_pct_B","arrest_pct_W","pop_pct_tot","pop_pct_B","pop_pct_W","sir_tot","sir_B","sir_W","RE_tot","RE_B","RE_W"
10100,2010,965,693,1658,37,129,3153,822,2116,0.260704091,0.671106882,100,58.2051745974308,41.8008564019058,52.58317211633,45.6027597939606,84.2963143169931,0.100042810978147,4.02663555991805,38.3760678970223,0.637669265270233,0.399727314710617,0.837003588676453
10100,2011,854,754,1614,37,129,2749,623,1970,0.226627865,0.716624227,100,52.9149371166594,46.7195341056936,58.7101233130843,43.3480533983047,121.007863906275,0.100036334979876,3.82744438614565,54.9939393750557,0.986528813838959,1.03297328948975,0.9161257147789
10100,2012,839,772,1617,37,129,2877,561,2263,0.194994786,0.786583246,100,51.8891843423412,47.7459649990724,56.2024260540127,37.0730414033847,137.586882908572,0.100038097505073,3.27355659099906,62.4792834369542,-0.662951827049255,-0.133291453123093,-0.994401097297668
10100,2013,752,701,1454,37,129,2462,636,1795,0.258326564,0.729082047,100,51.7227150814937,48.2153909634826,59.0552780147029,41.8918166118879,110.202798302154,0.100029315621708,3.6987217094113,50.0907096674723,1.1464878320694,1.54131603240967,1.13742017745972
10100,2014,629,539,1169,37,129,2212,566,1627,0.255877034,0.735533454,100,53.810623556582,46.1123941493457,52.8457122191583,38.6577346198759,95.2128599187423,0.100021176115037,3.41302370843193,43.2399303500495,2.60747027397156,2.4781596660614,2.26968812942505
10100,2015,571,574,1153,37,129,2161,845,1278,0.391022675,0.591392874,100,49.5273610267973,49.7875292689272,53.3524593956781,44.6756904780534,67.9209560998698,0.100020404724149,3.94382030776937,30.9257119296499,-0.921686887741089,-1.22206962108612,-0.979518473148346
10100,2016,696,615,1315,37,129,2245,882,1259,0.392873051,0.560801782,100,52.9313360200745,46.7721085848985,58.5720012471605,55.2775792232547,69.7199863961002,0.100024176239645,4.87967443270773,31.7518637526169,2.42540526390076,3.99800610542297,2.14889144897461
10100,2017,657,554,1215,37,129,2251,906,1225,0.402487783,0.544202577,100,54.0778536745947,45.6011850876471,53.9736129003598,53.6282752428373,61.1411543979693,0.100022397442313,4.73399906346418,27.8486187315424,0.937258958816528,1.22964179515839,1.34492778778076
10100,2018,437,477,920,37,129,2267,943,1182,0.41596824,0.521393913,100,47.5057059015324,51.8530594500598,40.5804772617,36.9681076051096,50.5778814547768,0.100017079926648,3.26325839021351,23.0416961423538,2.29734230041504,1.80256950855255,2.28559303283691
10200,2010,177,147,325,37,129,3290,1386,1897,0.421276596,0.576595745,100,54.4755459858505,45.2476161181175,9.87811920610316,9.33003004585947,10.6052954332299,0.10000875640646,0.823788433402733,4.83874700601777,2.29005002975464,3.17245864868164,2.29820084571838
10200,2011,272,118,390,37,129,3440,1609,1815,0.467732558,0.527616279,100,69.751345808767,30.2742886439374,11.336879741868,14.9854002534296,7.33329190230564,0.100010986761661,1.32310069380861,3.34736405976006,-0.499787509441376,-0.064619205892086,-1.19741368293762
10200,2012,221,88,309,37,129,3530,1598,1908,0.452691218,0.540509915,100,71.5302491103203,28.5021028793271,8.75329310784397,11.5822021906609,5.50653901508041,0.100008932640144,1.02264482032753,2.51347403049176,-1.6089973449707,-0.583839595317841,-0.671740889549255
10200,2013,181,135,316,37,129,3587,1590,1968,0.443267354,0.548647895,100,57.291996203733,42.7396393546346,8.80934459591313,9.19668716020528,8.4900320734545,0.100009282503316,0.812027107710626,3.87524271255326,0.877143502235413,0.762667000293732,-0.0430842861533165
10200,2014,212,125,337,37,129,3699,1678,1844,0.453636118,0.498513112,100,62.9190151290418,37.1106496588549,9.11032413289719,11.4961227699149,7.44890054227996,0.100010208475385,1.01503002509286,3.40052290740378,1.86988413333893,1.00256145000458,1.74365186691284
